step,fsr_0,fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,fsr_6,fsr_7,fsr_8,fsr_9,fsr_10,fsr_11,fsr_12,fsr_13,fsr_14,fsr_15,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,is_unlocked
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9600000381469727,0.48000001907348633,1.0,0.0,0.9600000381469727,0.48000001907348633,1.0,0.0,0.9600000381469727,0.48000001907348633,1.0,0.0,0.9600000381469727,0.48000001907348633,-0.02066669426858425,0.3496221601963043,-0.43823209404945374,0.7491576075553894,0.6959496736526489,-0.28821679949760437,-0.022572875022888184,-0.005041319411247969,-0.0025516394525766373,0.0010960439685732126,-0.015749935060739517,-0.003612940665334463,-0.0007071795407682657,0.0014714248245581985,-0.008917697705328465,-0.0021825393196195364,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010082638822495937,0.9600000381469727,0.48000001907348633,1.0,0.007225881330668926,0.9600000381469727,0.48000001907348633,1.0,0.004365078639239073,0.9600000381469727,0.48000001907348633,1.0,0.00031113624572753906,0.9600000381469727,0.48000001907348633,-0.0512925423681736,0.8443334102630615,-0.9257835149765015,1.7367041110992432,1.5997813940048218,-0.7248201370239258,0.003165881149470806,0.0008170829387381673,0.008546019904315472,0.004906981252133846,0.004437804222106934,0.0029615408275276423,0.009027733467519283,0.005055864807218313,0.00582758616656065,0.005123235750943422,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0016341659938916564,0.9600000381469727,0.48000001907348633,1.0,-0.0059230816550552845,0.9600000381469727,0.48000001907348633,1.0,-0.010246471501886845,0.9600000381469727,0.48000001907348633,1.0,-0.0006318092346191406,0.9600000381469727,0.48000001907348633,0.03198026120662689,1.3047680854797363,-1.3809579610824585,2.3953516483306885,2.325578451156616,-1.0966806411743164,0.04919781535863876,-0.0009882425656542182,0.026208601891994476,0.010332166217267513,0.044322360306978226,0.002235510852187872,0.025073764845728874,0.01016760990023613,0.03955813869833946,0.005483984015882015,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0019764851313084364,0.9600000381469727,0.48000001907348633,1.0,-0.004471021704375744,0.9600000381469727,0.48000001907348633,1.0,-0.01096796803176403,0.9600000381469727,0.48000001907348633,1.0,-0.001138448715209961,0.9600000381469727,0.48000001907348633,0.057249683886766434,1.3490527868270874,-1.5260965824127197,2.765110492706299,2.5343964099884033,-1.3530927896499634,0.06504974514245987,-0.007304277271032333,0.0352485291659832,0.01402225811034441,0.05799074098467827,-0.002928899135440588,0.03345180302858353,0.013704725541174412,0.05107435584068298,0.0014629053184762597,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014608554542064667,0.9600000381469727,0.48000001907348633,1.0,0.005857798270881176,0.9600000381469727,0.48000001907348633,1.0,-0.0029258106369525194,0.9600000381469727,0.48000001907348633,1.0,-0.0013196468353271484,0.9600000381469727,0.48000001907348633,0.041183460503816605,1.2822774648666382,-1.557215690612793,2.9787607192993164,2.6257576942443848,-1.4744174480438232,0.07557456195354462,-0.009900571778416634,0.04272712394595146,0.017425330355763435,0.06806029379367828,-0.005143546499311924,0.040771450847387314,0.017066339030861855,0.06071026995778084,-0.0003755801299121231,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019801145419478416,0.9600000381469727,0.48000001907348633,1.0,0.010287092998623848,0.9600000381469727,0.48000001907348633,1.0,0.0007511602598242462,0.9600000381469727,0.48000001907348633,1.0,-0.0014083385467529297,0.9600000381469727,0.48000001907348633,0.014760416001081467,1.202340841293335,-1.5553826093673706,3.128638744354248,2.67789888381958,-1.530897617340088,0.08478936553001404,-0.011378216557204723,0.04985569417476654,0.020770858973264694,0.0771995559334755,-0.006487909704446793,0.04785662516951561,0.020397480577230453,0.06978768855333328,-0.0015902244485914707,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022756434977054596,0.9600000381469727,0.48000001907348633,1.0,0.012975819408893585,0.9600000381469727,0.48000001907348633,1.0,0.0031804488971829414,0.9600000381469727,0.48000001907348633,1.0,-0.0014677048893645406,0.9600000381469727,0.48000001907348633,-0.015181045047938824,1.1551227569580078,-1.553053855895996,3.1934406757354736,2.7569754123687744,-1.5917693376541138,0.096797876060009,-0.01334773562848568,0.05760497972369194,0.024219220504164696,0.08941952139139175,-0.008437850512564182,0.05565102398395538,0.02385208010673523,0.08222660422325134,-0.003522838931530714,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02669547125697136,0.9600000381469727,0.48000001907348633,1.0,0.016875701025128365,0.9600000381469727,0.48000001907348633,1.0,0.007045678328722715,0.9600000381469727,0.48000001907348633,1.0,-0.0014500617980957031,0.9600000381469727,0.48000001907348633,-0.02360542118549347,1.1588393449783325,-1.5504727363586426,3.199218988418579,2.794219970703125,-1.6186801195144653,0.11037777364253998,-0.0157272070646286,0.06614798307418823,0.027906564995646477,0.10311085730791092,-0.010861380025744438,0.06419428437948227,0.027533136308193207,0.09604527801275253,-0.005994339473545551,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0314544141292572,0.9600000381469727,0.48000001907348633,1.0,0.021722761914134026,0.9600000381469727,0.48000001907348633,1.0,0.011988678947091103,0.9600000381469727,0.48000001907348633,1.0,-0.0017263890476897359,0.9600000381469727,0.48000001907348633,-0.019497035071253777,1.1727925539016724,-1.54618501663208,3.185930013656616,2.7800378799438477,-1.610331416130066,0.11792613565921783,-0.016323205083608627,0.07283198833465576,0.031172767281532288,0.11069116741418839,-0.011518619954586029,0.0708780363202095,0.030797410756349564,0.10366205871105194,-0.0067139421589672565,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.032646410167217255,0.9600000381469727,0.48000001907348633,1.0,0.023037239909172058,0.9600000381469727,0.48000001907348633,1.0,0.013427884317934513,0.9600000381469727,0.48000001907348633,1.0,-0.0017652511596679688,0.9600000381469727,0.48000001907348633,-0.011994306929409504,1.1894184350967407,-1.5370644330978394,3.1698145866394043,2.756758689880371,-1.5961246490478516,0.12435031682252884,-0.016133271157741547,0.0792056992650032,0.0343744121491909,0.11709819734096527,-0.01138730626553297,0.07724709808826447,0.033998120576143265,0.11005198210477829,-0.0066412463784217834,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03226654231548309,0.9600000381469727,0.48000001907348633,1.0,0.02277461439371109,0.9600000381469727,0.48000001907348633,1.0,0.013282493688166142,0.9600000381469727,0.48000001907348633,1.0,-0.0017628669738769531,0.9600000381469727,0.48000001907348633,-0.004103165119886398,1.190999984741211,-1.5324727296829224,3.157670021057129,2.7173194885253906,-1.585548996925354,0.12718574702739716,-0.01581512577831745,0.08450129628181458,0.03733760491013527,0.11989548057317734,-0.011128871701657772,0.08253384381532669,0.03695978969335556,0.11281023919582367,-0.006442321464419365,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0316302515566349,0.9600000381469727,0.48000001907348633,1.0,0.022257743403315544,0.9600000381469727,0.48000001907348633,1.0,0.01288464292883873,0.9600000381469727,0.48000001907348633,1.0,-0.0016655923100188375,0.9600000381469727,0.48000001907348633,0.003121572080999613,1.1890977621078491,-1.534846544265747,3.1474218368530273,2.7162585258483887,-1.5793101787567139,0.1318179816007614,-0.015500715002417564,0.09029258042573929,0.040403105318546295,0.12454670667648315,-0.010875588282942772,0.08833012729883194,0.0400262176990509,0.1174803301692009,-0.0062502003274858,0
